Attendance Date,1,2,3,4,5
18-Feb-23,10,8,8,8,8
17-Feb-23,10,10,10,10,10
16-Feb-23,10,10,10,9,9
15-Feb-23,8,8,8,10,10
14-Feb-23,8,8,8,10,10
13-Feb-23,8,8,8,10,10
11-Feb-23,8,8,8,10,10
10-Feb-23,8,8,8,10,10
9-Feb-23,8,8,8,10,10
8-Feb-23,10,10,10,10,10
7-Feb-23,10,10,10,10,10
6-Feb-23,9,9,9,9,9
3-Feb-23,10,10,10,10,10
2-Feb-23,10,10,10,10,10
1-Feb-23,10,10,10,9,9
31-Jan-23,9,9,9,9,9
30-Jan-23,10,10,10,10,10
28-Jan-23,10,10,10,9,9
25-Jan-23,10,10,10,10,10
24-Jan-23,10,10,10,10,10
23-Jan-23,9,9,9,9,9
21-Jan-23,10,10,10,9,9
20-Jan-23,10,10,10,10,10
19-Jan-23,10,10,10,10,10
18-Jan-23,10,10,10,10,10
13-Jan-23,10,10,10,8,8
12-Jan-23,10,10,10,10,10
11-Jan-23,10,10,10,10,10
10-Jan-23,10,10,10,10,10
9-Jan-23,10,10,10,10,10
7-Jan-23,10,10,10,10,10
6-Jan-23,10,10,10,10,10
5-Jan-23,10,10,10,10,10
23-Dec-22,8,10,10,8,8
22-Dec-22,10,10,10,10,10
21-Dec-22,10,10,10,10,10
20-Dec-22,10,10,10,10,10
19-Dec-22,10,10,10,10,10
17-Dec-22,8,10,10,10,10
16-Dec-22,8,10,10,10,10
15-Dec-22,10,10,10,9,9
14-Dec-22,10,10,10,10,10
13-Dec-22,10,10,10,10,10
12-Dec-22,10,10,10,9,9
8-Dec-22,10,10,10,10,8
